id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
796231143904004713,Washington Park Inn 4,493882819,Terra,NINTH WARD,42.65582,-73.77541,Private room,134.0,1,12,215
797455132224782470,Women only Alb Medical/colleges/Dtwn Albany Room O,89705052,Share,TENTH WARD,42.65741,-73.78034,Private room,54.0,2,14,91
802216634798169031,Washington Park Inn 6,493882819,Terra,SIXTH WARD,42.65751,-73.77409,Private room,168.0,1,6,205
803604897479679272,3br/2ba Near Alb Med & St.Petes.,21886921,David,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,125.0,14,3,326
803682039097862541,Modern and Cozy Pine Hills Home from Early 1900s,265709295,Priscela,THIRTEENTH WARD,42.6702921,-73.7907283,Entire home/apt,135.0,1,14,312
803814397190632412,Washington Park Inn - Room 5,493882819,Terra,NINTH WARD,42.656329,-73.775205,Private room,134.0,1,6,198
803867986023966300,Washington Park Inn 1,493882819,Terra,NINTH WARD,42.656329,-73.775205,Private room,134.0,1,9,208
806767523952124375,& Modern Luxury Cottage in Central ALB,110453341,Alexis,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,95.0,1,39,327
809524698302742033,Two bedroom apartment near hospitals pet friendly,172658781,Jessica,NINTH WARD,42.65613971519499,-73.79212237894535,Entire home/apt,85.0,30,0,80
813640070361665090,The front room w/ TV and king size bed,116935236,Felicisimo,THIRTEENTH WARD,42.67144,-73.79033,Private room,50.0,2,16,330
816085193659797849,Cozy Apartment across the Park,37769478,Erion,SIXTH WARD,42.65258,-73.76917,Entire home/apt,84.0,1,36,361
821566342267452838,COMFY Room/w Private BATH + TV,177073982,Cristian,FOURTEENTH WARD,42.66109,-73.80479,Private room,52.0,2,3,212
826301775871257033,2 br apt 2 min walk to albanymed offstreet parking,484673863,Michaela,NINTH WARD,42.65613,-73.77469,Entire home/apt,75.0,1,29,340
831122937768017113,Boho-Chic Cape Conveniently Located,210596861,Craig,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,221.0,2,99,226
841524382518312215,Mellow Cove,462042479,Natasha,SIXTH WARD,42.66008,-73.76977,Entire home/apt,120.0,3,6,365
841524433909352403,Cozy Cove Away From Home,462042479,Natasha,SIXTH WARD,42.65987,-73.77025,Entire home/apt,120.0,3,12,365
